Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
RE209858,RELOJ DE PARED BENABI BNB51724,2000200517245,REGALERIA,RELOJ DE PARED,,,PESOS,"13,500.00","120,00"
4676346,RELOJ DE PARED GIROD JH-5082,907790,REGALERIA,RELOJ DE PARED,,,PESOS,"13,500.00","120,00"
550252,RELOJ DE PARED VGO 30CM RL3013,1605351286852,REGALERIA,RELOJ DE PARED,,,PESOS,"12,100.00","120,00"
RE209857,RELOJ DE PARED VGO 35CM RL35001,3032138652353,REGALERIA,RELOJ DE PARED,,,PESOS,"12,500.00","120,00"
RE500270,"RELOJ DESPERTADOR CUADRADO C/LUZ 7,5X7,5CM EA35-18-01",909527,REGALERIA,RELOJ DESPERTADOR,,,PESOS,"3,600.00","120,00"
FAB4500,RELOJ DIGITAL DAMA FABIAN,908204,REGALERIA,RELOJ,,,PESOS,"4,300.00","120,00"
FAB145920,RELOJ DIGITAL HOMBRE CAJA DQ1459-4 SPORT WATCH 3 ATM WATER RESISTANT,6902000145948,REGALERIA,RELOJ,,,PESOS,"8,800.00","120,00"
FAB3850,RELOJ HOMBRE FABIAN DQ25727-4 / DQ1727-4 / DQ2498-4,908203,REGALERIA,RELOJ,,,PESOS,"4,600.00","120,00"
FAB4900,RELOJ HOMBRE MALLA METAL FABIAN DQ1496-6,6902024149663,REGALERIA,RELOJ,,,PESOS,"5,800.00","120,00"
FAB5200,RELOJ HOMBRE METAL EN CAJA,908205,REGALERIA,RELOJ,,,PESOS,"7,200.00","120,00"
RE548889,RIÑONERA AMAYRA NEGRA 67.C2554.1,909532,REGALERIA,RIÑONERA,,,PESOS,"17,000.00","120,00"
6190670256310,RIÑONERA AMAYRA NEGRA 67.C2563.1,6190670256310,REGALERIA,RIÑONERA,,,PESOS,"17,000.00","120,00"
REG0010,SET ASADO TABLA RECTANGULAR + CUBIERTOS + VASO,909575,REGALERIA,SET ASADO,,,PESOS,"2,612.00","120,00"
REG752,SET DE MATE ESTAMPADO 508103,909617,REGALERIA,MATE,,,PESOS,"1,500.00","120,00"
REG005,SET DE MATE ESTAMPADO EN CAJA 490215 9897,909579,REGALERIA,MATE,,,PESOS,"5,000.00","120,00"
BA113581,SET MATERO COMPLETO DE PLASTICO ART TT2015,908136,REGALERIA,BAZAR,,,PESOS,"1,750.00","120,00"
BA819031,SET MATERO DE LATA YERBERA + AZUCARERA MARWALL,908171,REGALERIA,BAZAR,,,PESOS,833.50,"120,00"
BA01680323,SET MATERO DE TELA LAVABLE,908129,REGALERIA,BAZAR,,,PESOS,"2,200.00","120,00"
5286,SET PARA ARMADO SURTIDO MEDIANO 12 DIVISIONES AG1581,907815,REGALERIA,ARMA JOYAS,,,PESOS,"2,900.00","120,00"
5191,SET PARA ARMADO SURTIDO MEDIANO 18 DIVISIONES AG1582,907809,REGALERIA,ARMA JOYAS,,,PESOS,"3,600.00","120,00"
RE314,"SET PARA BEBE - MAMADERA, CHUPETE, PORTA CHUPETE Y MORDILLO - 13M*24",909513,REGALERIA,BEBE,,,PESOS,"1,200.00","120,00"
REG6554,SET PULSERA DE HOMBRE,909612,REGALERIA,SET HOMBRE,,,PESOS,"2,200.00","120,00"
RE5498798,SET VERTEDOR C/MATE ESTAMPADO CAJA 9897,909533,REGALERIA,MATE,,,PESOS,"2,900.00","120,00"
REG787,SET VINO SACACORCHO + TAPON,909622,REGALERIA,BAZAR,,,PESOS,"1,750.00","120,00"
190500003742,SLIME ELMERS CLOUD/COSMICO/FRUTAL X 236 GR,904557,REGALERIA,SLIME,,ELMERS,PESOS,"1,235.00","120,00"
190500003743,SLIME ELMERS GUE ANIMAL KIT X 2,904558,REGALERIA,SLIME,,ELMERS,PESOS,"2,985.00","120,00"
190500003744,SLIME ELMERS GUE CANDY X236ML,904559,REGALERIA,SLIME,,ELMERS,PESOS,"1,510.00","120,00"
190500003745,SLIME ELMERS GUE CHOCO X236ML,904560,REGALERIA,SLIME,,ELMERS,PESOS,"1,510.00","120,00"
190500003746,SLIME ELMERS GUE MERMAIDS X236ML,904561,REGALERIA,SLIME,,ELMERS,PESOS,"1,810.00","120,00"
190500003747,SLIME ELMERS GUE UNICORN X236ML,904562,REGALERIA,SLIME,,ELMERS,PESOS,"1,810.00","120,00"
190500003748,SLIME ELMERS TRANSP/COLOR X 236 GR,904563,REGALERIA,SLIME,,ELMERS,PESOS,"1,060.00","120,00"
190500003749,SLIME GELELE BALDE X457 GR,904564,REGALERIA,SLIME,,GELELE,PESOS,"1,458.00","120,00"
190500003750,SLIME GELELE HUEVO SORPRESA X98 GR,904565,REGALERIA,SLIME,,GELELE,PESOS,860.00,"120,00"
190500003751,SLIME GELELE POTE X152 GR,904566,REGALERIA,SLIME,,GELELE,PESOS,728.00,"120,00"
190500003752,SLIME GELELE SORPRESA UNICORNIO X153 GR,904567,REGALERIA,SLIME,,GELELE,PESOS,"1,166.00","120,00"
205575,SLIME SHAKY X152G UNICORNIO 3756,905526,REGALERIA,SLIME,,,PESOS,662.00,"120,00"
205578,SMILE SHAKY CHICA 156,905529,REGALERIA,SLIME,,,PESOS,656.00,"120,00"
205577,SMILE SHAKY SALTARINA C/LUZ 154,905528,REGALERIA,SMILE,,,PESOS,"1,195.00","120,00"
204321,SOPORTE MAGNETICO GTC PARA TELEFONO MOVIL CHICO UAG-005,905445,REGALERIA,SOPORTE,,,PESOS,"1,484.00","120,00"
BA006059,SORBITO MIKY YESI,908125,REGALERIA,BAZAR,,,PESOS,833.50,"120,00"
BA006011,SORBITO TINTIN YESI 006011,908124,REGALERIA,BAZAR,,,PESOS,400.00,"120,00"
BA1680034311,TAPAS DE BOTELLA DE SILICONA,908137,REGALERIA,BAZAR,,,PESOS,55.50,"120,00"
BA102618,TAPON MATERO LUMILAGRO SATURNO,908133,REGALERIA,BAZAR,,,PESOS,400.00,"120,00"
685623412,TARJETA NORCA FELIZ CUMPLEAÑOS Y OTROS,907845,REGALERIA,TARJETA,,,PESOS,280.00,"120,00"
ACC102511,TARJETERO 10X7 201307,907987,REGALERIA,TARJETERO,,,PESOS,"2,700.00","120,00"
ACC103334,TARJETERO CAJA 10X7 201308,907988,REGALERIA,TARJETERO,,,PESOS,"3,700.00","120,00"
6879876,TARJETERO ZAPHIR TA0012Z,1021300129925,REGALERIA,TARJETERO,,ZAPHIR,PESOS,"5,800.00","120,00"
REG2165,TARJETERO ZAPHIR TA0014Z,1021300149925,REGALERIA,TARJETERO,,ZAPHIR,PESOS,"5,900.00","120,00"
REG56878,TAZA BIG LIFE 004093 / DIA DE LA MADRE 4922577,909607,REGALERIA,TAZA,,,PESOS,"2,000.00","120,00"
RE5555899995,TAZA CERAMICA G-307 430297,909534,REGALERIA,TAZA,,,PESOS,"2,700.00","120,00"
255589995555,TAZA DE VIDRIO EN CAJA ARBOL DE LA VIDA DIA DE LOS ENAMORADOS JARRO LOVE,905842,REGALERIA,BAZAR,,,PESOS,"3,750.00","120,00"
REG540,TAZA DIA DEL AMIGO 420195,909595,REGALERIA,TAZA,,,PESOS,500.00,"120,00"
REG5412,TAZA DIA DEL PADRE,909596,REGALERIA,TAZA,,,PESOS,612.00,"120,00"
BA402670,TAZA JARRO BH HOME BH-424,908151,REGALERIA,TAZA,,,PESOS,764.00,"120,00"
REG7987987,TAZA JARRO MUG GENKO,909628,REGALERIA,TAZA,,,PESOS,"3,480.00","120,00"
REG4574,TAZA RECTA / CONICO BLANCA CLUB / PERSONAJES / FELIZ,909590,REGALERIA,TAZA,,,PESOS,"2,650.00","120,00"
REG6576,TAZA TERMICA CON TAPA LUNARES 1047,909613,REGALERIA,TAZA,,,PESOS,"1,100.00","120,00"
114426,TAZA TRENDY,900414,REGALERIA,TAZA,,TRENDY,PESOS,"1,990.00","120,00"
114429,TAZA TRENDY CON TAPA,900415,REGALERIA,TAZA,,TRENDY,PESOS,"2,400.00","120,00"
RE54584756,TAZA VIDRIO PINTADA,909529,REGALERIA,TAZA,,,PESOS,"1,100.00","120,00"
204295,TECLADO GTC MULTIMEDIA KBG-205,905441,REGALERIA,INFORMATICA,,,PESOS,"1,224.00","120,00"
204294,TECLADO GTC STANDAR USB KBG-204,905440,REGALERIA,INFORMATICA,,,PESOS,"1,616.00","120,00"
204290,TECLADO-MOUSE GTC GAMING CBG-015,905439,REGALERIA,INFORMATICA,,,PESOS,"2,478.00","120,00"
204301,TECLADO-MOUSE GTC INALAMBRICO CBG-016,905442,REGALERIA,INFORMATICA,,,PESOS,"4,807.00","120,00"
204287,TECLADO-MOUSE GTC INALAMBRICO CBG-017,905438,REGALERIA,INFORMATICA,,,PESOS,"7,406.00","120,00"
BA667625,TERMO BALA DE ACERO INOXIDABLE 1L TEGO / M Y R,908167,REGALERIA,BAZAR,,,PESOS,"3,690.00","120,00"
BA012111,TERMO DE ACERO INOXIDABLE 1L BIG STAR PLUS,908128,REGALERIA,BAZAR,,,PESOS,"4,000.00","120,00"
BA903247,TERMO DE ACERO INOXIDABLE 1L WELL SENSE,908173,REGALERIA,BAZAR,,,PESOS,"2,650.00","120,00"
BA,TERMO MEDIA MANIJA MYR SIMIL STANLEY 1000ML,908121,REGALERIA,BAZAR,,,PESOS,"11,600.00","120,00"
BA000440,TERMO MEDIA MANIJA TAPON STANLEY 1000ML,908122,REGALERIA,BAZAR,,,PESOS,"11,300.00","120,00"
204174,TONER LASER GTC P/BROTHER TN 1060,905413,REGALERIA,TONER,,,PESOS,"4,589.00","120,00"
204172,TONER LASER GTC P/HP 105 A,905412,REGALERIA,TONER,,,PESOS,"11,609.00","120,00"
204175,TONER LASER GTC P/SAMSUMG MLT-111 S,905414,REGALERIA,TONER,,,PESOS,"9,980.00","120,00"
204176,TONER LASER GTC P/SAMSUMG MLT-D101,905415,REGALERIA,TONER,,,PESOS,"11,052.00","120,00"
204171,TONER LASER P/HP CB435-436-CC388,905411,REGALERIA,TONER,,,PESOS,"8,453.00","120,00"
204170,TONER LASER P/HP CF279A,905410,REGALERIA,TONER,,,PESOS,"6,500.00","120,00"
RE144447888,TOTE TRENDY 52491 NATURAL Y NEGRO,909492,REGALERIA,TOTE,,TRENDY,PESOS,"12,900.00","120,00"
204143,TRIPODE GTC TBL-003 C/DOS AROS DE LUZ,905405,REGALERIA,TRIPODE,,,PESOS,"5,750.00","120,00"
REG12000,TUPPER CUADRADO 412002,909584,REGALERIA,BAZAR,,,PESOS,417.00,"120,00"
495772,TUPPER HERMETICO BEL GIOCO 3 DIVISIONES AVENGERS,7798391142593,REGALERIA,BAZAR,,,PESOS,"3,625.50","120,00"
430071,TUPPER HERMETICO BEL GIOCO 3 DIVISIONES JURASSIC PARK,7798391142548,REGALERIA,BAZAR,,,PESOS,"3,520.50","120,00"
404307,TUPPER HERMETICO BEL GIOCO 3 DIVISIONES PRINCESAS,7798391142494,REGALERIA,BAZAR,,,PESOS,"3,520.50","120,00"
405001,TUPPER HERMETICO BEL GIOCO 3 DIVISIONES SPIDERMAN,7798391142586,REGALERIA,BAZAR,,,PESOS,"3,520.50","120,00"
419274,TUPPER HERMETICO BEL GIOCO 3 DIVISIONES STICHT,7798391142517,REGALERIA,BAZAR,,,PESOS,"3,520.50","120,00"
205571,UNICORNIO SHAKY IK0151,905522,REGALERIA,UNICORNIO,,,PESOS,590.00,"120,00"
190500004156,VAJILLA JARDIN OPENING C/JABONERA TB2045 OF,905016,REGALERIA,VAJILLAS,,OPENING,PESOS,185.00,"120,00"
190500004157,VAJILLA JARDIN OPENING S/JABONERA TB204 OF,905017,REGALERIA,VAJILLAS,,OPENING,PESOS,120.00,"120,00"
190500004158,VAJILLA P/JARDIN YESI,905018,REGALERIA,VAJILLAS,,YESI,PESOS,405.00,"120,00"
190500004159,VAJILLA P/JARDIN YESI C/JABONERA,905019,REGALERIA,VAJILLAS,ESTELA MONTENEGRO S.R.L.,YESI,PESOS,578.00,"120,00"
REG54687,VASO ACRILICO ESTAMPADO CB-04,909601,REGALERIA,BAZAR,,,PESOS,"2,100.00","120,00"
REG54787,VASO ACRILICO TRENDY 14795,909604,REGALERIA,BAZAR,,,PESOS,"2,200.00","120,00"
REG003,VASO ALUMINIO FERNETERO 1.5L,7798364071172,REGALERIA,BAZAR,,,PESOS,"5,500.00","120,00"
REG004,VASO ALUMINIO FERNETOMETRO 1L,909578,REGALERIA,BAZAR,,,PESOS,900.00,"120,00"
BA754697,VASO ALUMINIO PINTADO NEGRO CLUB,908169,REGALERIA,BAZAR,,,PESOS,"4,060.00","120,00"
BA46496,VASO ALUMINIO PINTADO NEGRO CON ASA,908163,REGALERIA,BAZAR,,,PESOS,"4,900.00","120,00"
BA456832,VASO CAFE CON TAPA EN CAJA BIG LIFE,908162,REGALERIA,BAZAR,,,PESOS,"1,094.50","120,00"
REG562,VASO CAFE W8560 WMT,909605,REGALERIA,BAZAR,,,PESOS,"3,875.00","120,00"
190500004164,VASO CHICO BEL GIOCO,905024,REGALERIA,BAZAR,,BEL GIOCO,PESOS,422.00,"120,00"
497504,VASO CHIMOLA 350ML BZ10,7798218141693,REGALERIA,BAZAR,,,PESOS,"8,950.00","120,00"
REG00012,VASO COFFEE MUGS YUKIN CON VISOR TEMPERATURA,909565,REGALERIA,BAZAR,,,PESOS,"10,750.00","120,00"
REG1548797,VASO CON ANIMALITO Y SORBETE DL-1001,909585,REGALERIA,BAZAR,,,PESOS,"1,000.00","120,00"
190500004165,VASO FERA 500 CC DOBLE PARED,905025,REGALERIA,BAZAR,,FERA,PESOS,"1,475.00","120,00"
REG00020,VASO INFANTIL CON TAPA Y SORBETE NS230235 / NS230238 - E04*24,909571,REGALERIA,BAZAR,,,PESOS,830.00,"120,00"
REG00019,VASO INFANTIL FLOR CON SORBETE,909570,REGALERIA,BAZAR,,,PESOS,478.00,"120,00"
